archiveType,climateInterpretation_variable,dataSetName,datasetId,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,yearUnits,DuplicateDetails
tree,nan,africa_keny001,FE23_africa_keny001,2010.0,-0.5833333134651184,37.04999923706055,RagatiForestStationNyeriDistrict,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/keny001.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stahle,TRW,VIKE,standardized_anomalies,CE,N/A
tree,nan,africa_keny002,FE23_africa_keny002,2010.0,-0.5833333134651184,37.04999923706055,RagatiForestStationNyeriDistrict,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/keny002.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stahle,TRW,PRMA,standardized_anomalies,CE,N/A
tree,M,africa_morc001,FE23_africa_morc001,2200.0,32.41666793823242,-5.25,Tounfite,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/morc001.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stockton,TRW,CDAT,standardized_anomalies,CE,N/A
tree,nan,africa_morc002,FE23_africa_morc002,1700.0,35.03333282470703,-4.833333492279053,Afechtal,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/morc002.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stockton,TRW,CDAT,standardized_anomalies,CE,N/A
tree,nan,africa_morc003,FE23_africa_morc003,2200.0,32.38333511352539,-5.599999904632568,Ta'Adlount,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/morc003.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stockton,TRW,CDAT,standardized_anomalies,CE,N/A
tree,M,africa_morc011,FE23_africa_morc011,1900.0,33.45000076293945,-5.0333333015441895,Ifrane,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/morc011.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Chbouki,TRW,CDAT,standardized_anomalies,CE,N/A
tree,nan,africa_morc012,FE23_africa_morc012,1700.0,35.11666488647461,-5.099999904632568,Tissouka,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/morc012.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Chbouki,TRW,CDAT,standardized_anomalies,CE,N/A
tree,nan,africa_morc013,FE23_africa_morc013,1900.0,34.08333206176758,-4.183333396911621,Tazzeka,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/morc013.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Chbouki,TRW,CDAT,standardized_anomalies,CE,N/A
tree,nan,africa_morc014,FE23_africa_morc014,2200.0,33.016666412353516,-5.066666603088379,ColduZad,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/morc014.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stockton,TRW,CDAT,standardized_anomalies,CE,N/A
tree,nan,africa_safr001,FE23_africa_safr001,1330.0,-32.400001525878906,19.21666717529297,DieBos,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/safr001.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Lamarche,TRW,WICE,standardized_anomalies,CE,N/A
tree,nan,africa_zimb001,FE23_africa_zimb001,1085.0,-18.66666603088379,26.683332443237305,BaobabHoles,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/zimb001.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stahle,TRW,CABU,standardized_anomalies,CE,N/A
tree,nan,africa_zimb002,FE23_africa_zimb002,1120.0,-18.33333396911621,27.66666603088379,MzolaForest,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/zimb002.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Mushove,TRW,PTAN,standardized_anomalies,CE,N/A
tree,nan,africa_zimb003,FE23_africa_zimb003,1100.0,-18.549999237060547,26.933332443237305,SikumiForest,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/zimb003.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Stahle,TRW,PTAN,standardized_anomalies,CE,N/A
